CALENDAR_YEAR,LOCATION_ID,RACE_ETHNICITY,ALONE_OR_IN_COMBINATION,CNT
2017,CA-510,"American Indian, Alaska Native, or Indigenous",Alone,61
2017,CA-510,"American Indian, Alaska Native, or Indigenous",In_Combination,289
2017,CA-510,Asian or Asian American,Alone,70
2017,CA-510,Asian or Asian American,In_Combination,76
2017,CA-510,"Black, African American or African",Alone,654
2017,CA-510,"Black, African American or African",In_Combination,366
2017,CA-510,Hispanic/Latina/e/o,Alone,92
2017,CA-510,Hispanic/Latina/e/o,In_Combination,2720
2017,CA-510,Native Hawaiian or Pacific Islander,Alone,67
2017,CA-510,Native Hawaiian or Pacific Islander,In_Combination,88
2017,CA-510,White,Alone,2241
2017,CA-510,White,In_Combination,2684
2017,CA-511,"American Indian, Alaska Native, or Indigenous",Alone,61
2017,CA-511,"American Indian, Alaska Native, or Indigenous",In_Combination,215
2017,CA-511,Asian or Asian American,Alone,163
2017,CA-511,Asian or Asian American,In_Combination,104
2017,CA-511,"Black, African American or African",Alone,2584
2017,CA-511,"Black, African American or African",In_Combination,427
2017,CA-511,Hispanic/Latina/e/o,Alone,251
2017,CA-511,Hispanic/Latina/e/o,In_Combination,2269
2017,CA-511,Native Hawaiian or Pacific Islander,Alone,66
2017,CA-511,Native Hawaiian or Pacific Islander,In_Combination,70
2017,CA-511,White,Alone,1934
2017,CA-511,White,In_Combination,2282
2017,CA-512,"American Indian, Alaska Native, or Indigenous",Alone,30
2017,CA-512,"American Indian, Alaska Native, or Indigenous",In_Combination,300
2017,CA-512,Asian or Asian American,Alone,217
2017,CA-512,Asian or Asian American,In_Combination,54
2017,CA-512,"Black, African American or African",Alone,747
2017,CA-512,"Black, African American or African",In_Combination,127
2017,CA-512,Hispanic/Latina/e/o,Alone,55
2017,CA-512,Hispanic/Latina/e/o,In_Combination,1444
2017,CA-512,Native Hawaiian or Pacific Islander,Alone,355
2017,CA-512,Native Hawaiian or Pacific Islander,In_Combination,45
2017,CA-512,White,Alone,1229
2017,CA-512,White,In_Combination,1204
2017,CA-513,"American Indian, Alaska Native, or Indigenous",Alone,46
2017,CA-513,"American Indian, Alaska Native, or Indigenous",In_Combination,102
2017,CA-513,Asian or Asian American,Alone,15
2017,CA-513,Asian or Asian American,In_Combination,15
2017,CA-513,"Black, African American or African",Alone,334
2017,CA-513,"Black, African American or African",In_Combination,89
2017,CA-513,Hispanic/Latina/e/o,Alone,123
2017,CA-513,Hispanic/Latina/e/o,In_Combination,1317
2017,CA-513,Native Hawaiian or Pacific Islander,Alone,*
2017,CA-513,Native Hawaiian or Pacific Islander,In_Combination,19
2017,CA-513,White,Alone,1021
2017,CA-513,White,In_Combination,1267
2017,CA-514,"American Indian, Alaska Native, or Indigenous",Alone,52
2017,CA-514,"American Indian, Alaska Native, or Indigenous",In_Combination,70
2017,CA-514,Asian or Asian American,Alone,28
2017,CA-514,Asian or Asian American,In_Combination,*
2017,CA-514,"Black, African American or African",Alone,505
2017,CA-514,"Black, African American or African",In_Combination,65
2017,CA-514,Hispanic/Latina/e/o,Alone,29
2017,CA-514,Hispanic/Latina/e/o,In_Combination,1012
2017,CA-514,Native Hawaiian or Pacific Islander,Alone,*
2017,CA-514,Native Hawaiian or Pacific Islander,In_Combination,13
2017,CA-514,White,Alone,629
2017,CA-514,White,In_Combination,964
2017,CA-515,"American Indian, Alaska Native, or Indigenous",Alone,19
2017,CA-515,"American Indian, Alaska Native, or Indigenous",In_Combination,106
2017,CA-515,Asian or Asian American,Alone,*
2017,CA-515,Asian or Asian American,In_Combination,16
2017,CA-515,"Black, African American or African",Alone,86
2017,CA-515,"Black, African American or African",In_Combination,61
2017,CA-515,Hispanic/Latina/e/o,Alone,12
2017,CA-515,Hispanic/Latina/e/o,In_Combination,185
2017,CA-515,Native Hawaiian or Pacific Islander,Alone,*
2017,CA-515,Native Hawaiian or Pacific Islander,In_Combination,24
2017,CA-515,White,Alone,833
2017,CA-515,White,In_Combination,221
2017,CA-516,"American Indian, Alaska Native, or Indigenous",Alone,13
2017,CA-516,"American Indian, Alaska Native, or Indigenous",In_Combination,*
2017,CA-516,Asian or Asian American,Alone,*
2017,CA-516,Asian or Asian American,In_Combination,*
2017,CA-516,"Black, African American or African",Alone,*
2017,CA-516,"Black, African American or African",In_Combination,14
2017,CA-516,Hispanic/Latina/e/o,Alone,*
2017,CA-516,Hispanic/Latina/e/o,In_Combination,22
2017,CA-516,Native Hawaiian or Pacific Islander,Alone,*
2017,CA-516,Native Hawaiian or Pacific Islander,In_Combination,*
2017,CA-516,White,Alone,145
2017,CA-516,White,In_Combination,40
2017,CA-517,"American Indian, Alaska Native, or Indigenous",Alone,19
2017,CA-517,"American Indian, Alaska Native, or Indigenous",In_Combination,106
2017,CA-517,Asian or Asian American,Alone,*
2017,CA-517,Asian or Asian American,In_Combination,*
2017,CA-517,"Black, African American or African",Alone,59
2017,CA-517,"Black, African American or African",In_Combination,14
2017,CA-517,Hispanic/Latina/e/o,Alone,*
2017,CA-517,Hispanic/Latina/e/o,In_Combination,308
2017,CA-517,Native Hawaiian or Pacific Islander,Alone,*
2017,CA-517,Native Hawaiian or Pacific Islander,In_Combination,*
2017,CA-517,White,Alone,514
2017,CA-517,White,In_Combination,214
2017,CA-518,"American Indian, Alaska Native, or Indigenous",Alone,11
2017,CA-518,"American Indian, Alaska Native, or Indigenous",In_Combination,55
2017,CA-518,Asian or Asian American,Alone,14
2017,CA-518,Asian or Asian American,In_Combination,26
2017,CA-518,"Black, African American or African",Alone,362
2017,CA-518,"Black, African American or African",In_Combination,61
2017,CA-518,Hispanic/Latina/e/o,Alone,*
2017,CA-518,Hispanic/Latina/e/o,In_Combination,136
2017,CA-518,Native Hawaiian or Pacific Islander,Alone,13
2017,CA-518,Native Hawaiian or Pacific Islander,In_Combination,23
2017,CA-518,White,Alone,254
2017,CA-518,White,In_Combination,167
2017,CA-519,"American Indian, Alaska Native, or Indigenous",Alone,45
2017,CA-519,"American Indian, Alaska Native, or Indigenous",In_Combination,77
2017,CA-519,Asian or Asian American,Alone,11
2017,CA-519,Asian or Asian American,In_Combination,*
2017,CA-519,"Black, African American or African",Alone,70
2017,CA-519,"Black, African American or African",In_Combination,47
2017,CA-519,Hispanic/Latina/e/o,Alone,*
2017,CA-519,Hispanic/Latina/e/o,In_Combination,162
2017,CA-519,Native Hawaiian or Pacific Islander,Alone,*
2017,CA-519,Native Hawaiian or Pacific Islander,In_Combination,*
2017,CA-519,White,Alone,963
2017,CA-519,White,In_Combination,230
2017,CA-520,"American Indian, Alaska Native, or Indigenous",Alone,*
2017,CA-520,"American Indian, Alaska Native, or Indigenous",In_Combination,18
2017,CA-520,Asian or Asian American,Alone,*
2017,CA-520,Asian or Asian American,In_Combination,*
2017,CA-520,"Black, African American or African",Alone,120
2017,CA-520,"Black, African American or African",In_Combination,14
2017,CA-520,Hispanic/Latina/e/o,Alone,*
2017,CA-520,Hispanic/Latina/e/o,In_Combination,179
2017,CA-520,Native Hawaiian or Pacific Islander,Alone,*
2017,CA-520,Native Hawaiian or Pacific Islander,In_Combination,*
2017,CA-520,White,Alone,263
2017,CA-520,White,In_Combination,179
2017,CA-521,"American Indian, Alaska Native, or Indigenous",Alone,12
2017,CA-521,"American Indian, Alaska Native, or Indigenous",In_Combination,32
2017,CA-521,Asian or Asian American,Alone,*
2017,CA-521,Asian or Asian American,In_Combination,*
2017,CA-521,"Black, African American or African",Alone,116
2017,CA-521,"Black, African American or African",In_Combination,24
2017,CA-521,Hispanic/Latina/e/o,Alone,*
2017,CA-521,Hispanic/Latina/e/o,In_Combination,143
2017,CA-521,Native Hawaiian or Pacific Islander,Alone,*
2017,CA-521,Native Hawaiian or Pacific Islander,In_Combination,*
2017,CA-521,White,Alone,222
2017,CA-521,White,In_Combination,126
2017,CA-522,"American Indian, Alaska Native, or Indigenous",Alone,57
2017,CA-522,"American Indian, Alaska Native, or Indigenous",In_Combination,126
2017,CA-522,Asian or Asian American,Alone,*
2017,CA-522,Asian or Asian American,In_Combination,*
2017,CA-522,"Black, African American or African",Alone,38
2017,CA-522,"Black, African American or African",In_Combination,19
2017,CA-522,Hispanic/Latina/e/o,Alone,*
2017,CA-522,Hispanic/Latina/e/o,In_Combination,127
2017,CA-522,Native Hawaiian or Pacific Islander,Alone,*
2017,CA-522,Native Hawaiian or Pacific Islander,In_Combination,13
2017,CA-522,White,Alone,625
2017,CA-522,White,In_Combination,188
2017,CA-523,"American Indian, Alaska Native, or Indigenous",Alone,16
2017,CA-523,"American Indian, Alaska Native, or Indigenous",In_Combination,*
2017,CA-523,"Black, African American or African",Alone,*
2017,CA-523,"Black, African American or African",In_Combination,*
2017,CA-523,Hispanic/Latina/e/o,Alone,*
2017,CA-523,Hispanic/Latina/e/o,In_Combination,79
2017,CA-523,Native Hawaiian or Pacific Islander,Alone,*
2017,CA-523,Native Hawaiian or Pacific Islander,In_Combination,*
2017,CA-523,White,Alone,82
2017,CA-523,White,In_Combination,74
2017,CA-525,"American Indian, Alaska Native, or Indigenous",Alone,*
2017,CA-525,"American Indian, Alaska Native, or Indigenous",In_Combination,*
2017,CA-525,Asian or Asian American,Alone,*
2017,CA-525,Asian or Asian American,In_Combination,*
2017,CA-525,"Black, African American or African",Alone,*
2017,CA-525,"Black, African American or African",In_Combination,*
2017,CA-525,Hispanic/Latina/e/o,Alone,*
2017,CA-525,Hispanic/Latina/e/o,In_Combination,40
2017,CA-525,Native Hawaiian or Pacific Islander,Alone,*
2017,CA-525,Native Hawaiian or Pacific Islander,In_Combination,*
2017,CA-525,White,Alone,235
2017,CA-525,White,In_Combination,37
2017,CA-526,"American Indian, Alaska Native, or Indigenous",Alone,18
2017,CA-526,"American Indian, Alaska Native, or Indigenous",In_Combination,32
2017,CA-526,Asian or Asian American,Alone,*
2017,CA-526,Asian or Asian American,In_Combination,*
2017,CA-526,"Black, African American or African",Alone,12
2017,CA-526,"Black, African American or African",In_Combination,*
2017,CA-526,Hispanic/Latina/e/o,Alone,*
2017,CA-526,Hispanic/Latina/e/o,In_Combination,82
2017,CA-526,Native Hawaiian or Pacific Islander,Alone,*
2017,CA-526,Native Hawaiian or Pacific Islander,In_Combination,*
2017,CA-526,White,Alone,395
2017,CA-526,White,In_Combination,108
2017,CA-527,"American Indian, Alaska Native, or Indigenous",Alone,19
2017,CA-527,"American Indian, Alaska Native, or Indigenous",In_Combination,22
2017,CA-527,Asian or Asian American,Alone,*
2017,CA-527,Asian or Asian American,In_Combination,*
2017,CA-527,"Black, African American or African",Alone,*
2017,CA-527,"Black, African American or African",In_Combination,*
2017,CA-527,Hispanic/Latina/e/o,Alone,*
2017,CA-527,Hispanic/Latina/e/o,In_Combination,42
2017,CA-527,Native Hawaiian or Pacific Islander,Alone,*
2017,CA-527,Native Hawaiian or Pacific Islander,In_Combination,*
2017,CA-527,White,Alone,295
2017,CA-527,White,In_Combination,60
2017,CA-529,"American Indian, Alaska Native, or Indigenous",Alone,*
2017,CA-529,"American Indian, Alaska Native, or Indigenous",In_Combination,*
2017,CA-529,Asian or Asian American,Alone,*
2017,CA-529,Asian or Asian American,In_Combination,*
2017,CA-529,"Black, African American or African",Alone,*
2017,CA-529,"Black, African American or African",In_Combination,*
2017,CA-529,Hispanic/Latina/e/o,Alone,*
2017,CA-529,Hispanic/Latina/e/o,In_Combination,12
2017,CA-529,Native Hawaiian or Pacific Islander,Alone,*
2017,CA-529,Native Hawaiian or Pacific Islander,In_Combination,*
2017,CA-529,White,Alone,16
2017,CA-529,White,In_Combination,11
2017,CA-530,"American Indian, Alaska Native, or Indigenous",Alone,29
2017,CA-530,"American Indian, Alaska Native, or Indigenous",In_Combination,*
2017,CA-530,Asian or Asian American,Alone,*
2017,CA-530,Asian or Asian American,In_Combination,*
2017,CA-530,"Black, African American or African",Alone,*
2017,CA-530,"Black, African American or African",In_Combination,*
2017,CA-530,Hispanic/Latina/e/o,Alone,*
2017,CA-530,Hispanic/Latina/e/o,In_Combination,47
2017,CA-530,Native Hawaiian or Pacific Islander,Alone,*
2017,CA-530,Native Hawaiian or Pacific Islander,In_Combination,*
2017,CA-530,White,Alone,97
2017,CA-530,White,In_Combination,47
2017,CA-531,"American Indian, Alaska Native, or Indigenous",Alone,13
2017,CA-531,"American Indian, Alaska Native, or Indigenous",In_Combination,21
2017,CA-531,Asian or Asian American,Alone,*
2017,CA-531,Asian or Asian American,In_Combination,*
2017,CA-531,"Black, African American or African",Alone,*
2017,CA-531,"Black, African American or African",In_Combination,*
2017,CA-531,Hispanic/Latina/e/o,Alone,*
2017,CA-531,Hispanic/Latina/e/o,In_Combination,33
2017,CA-531,Native Hawaiian or Pacific Islander,Alone,*
2017,CA-531,Native Hawaiian or Pacific Islander,In_Combination,*
2017,CA-531,White,Alone,377
2017,CA-531,White,In_Combination,57
2017,CA-600,"American Indian, Alaska Native, or Indigenous",Alone,350
2017,CA-600,"American Indian, Alaska Native, or Indigenous",In_Combination,993
2017,CA-600,Asian or Asian American,Alone,592
2017,CA-600,Asian or Asian American,In_Combination,267
2017,CA-600,"Black, African American or African",Alone,23536
2017,CA-600,"Black, African American or African",In_Combination,1855
2017,CA-600,Hispanic/Latina/e/o,Alone,1870
2017,CA-600,Hispanic/Latina/e/o,In_Combination,16113
2017,CA-600,Native Hawaiian or Pacific Islander,Alone,284
2017,CA-600,Native Hawaiian or Pacific Islander,In_Combination,377
2017,CA-600,White,Alone,9435
2017,CA-600,White,In_Combination,15366
2017,CA-601,"American Indian, Alaska Native, or Indigenous",Alone,99
2017,CA-601,"American Indian, Alaska Native, or Indigenous",In_Combination,365
2017,CA-601,Asian or Asian American,Alone,166
2017,CA-601,Asian or Asian American,In_Combination,146
2017,CA-601,"Black, African American or African",Alone,3155
2017,CA-601,"Black, African American or African",In_Combination,626
2017,CA-601,Hispanic/Latina/e/o,Alone,68
2017,CA-601,Hispanic/Latina/e/o,In_Combination,3277
2017,CA-601,Native Hawaiian or Pacific Islander,Alone,120
2017,CA-601,Native Hawaiian or Pacific Islander,In_Combination,157
2017,CA-601,White,Alone,4084
2017,CA-601,White,In_Combination,3262
2017,CA-602,"American Indian, Alaska Native, or Indigenous",Alone,83
2017,CA-602,"American Indian, Alaska Native, or Indigenous",In_Combination,640
2017,CA-602,Asian or Asian American,Alone,250
2017,CA-602,Asian or Asian American,In_Combination,131
2017,CA-602,"Black, African American or African",Alone,1257
2017,CA-602,"Black, African American or African",In_Combination,384
2017,CA-602,Hispanic/Latina/e/o,Alone,129
2017,CA-602,Hispanic/Latina/e/o,In_Combination,3957
2017,CA-602,Native Hawaiian or Pacific Islander,Alone,111
2017,CA-602,Native Hawaiian or Pacific Islander,In_Combination,105
2017,CA-602,White,Alone,4055
2017,CA-602,White,In_Combination,3533
2017,CA-603,"American Indian, Alaska Native, or Indigenous",Alone,39
2017,CA-603,"American Indian, Alaska Native, or Indigenous",In_Combination,107
2017,CA-603,Asian or Asian American,Alone,21
2017,CA-603,Asian or Asian American,In_Combination,27
2017,CA-603,"Black, African American or African",Alone,224
2017,CA-603,"Black, African American or African",In_Combination,69
2017,CA-603,Hispanic/Latina/e/o,Alone,44
2017,CA-603,Hispanic/Latina/e/o,In_Combination,1147
2017,CA-603,Native Hawaiian or Pacific Islander,Alone,16
2017,CA-603,Native Hawaiian or Pacific Islander,In_Combination,22
2017,CA-603,White,Alone,1181
2017,CA-603,White,In_Combination,1147
2017,CA-604,"American Indian, Alaska Native, or Indigenous",Alone,37
2017,CA-604,"American Indian, Alaska Native, or Indigenous",In_Combination,93
2017,CA-604,Asian or Asian American,Alone,*
2017,CA-604,Asian or Asian American,In_Combination,14
2017,CA-604,"Black, African American or African",Alone,1183
2017,CA-604,"Black, African American or African",In_Combination,106
2017,CA-604,Hispanic/Latina/e/o,Alone,11
2017,CA-604,Hispanic/Latina/e/o,In_Combination,1533
2017,CA-604,Native Hawaiian or Pacific Islander,Alone,39
2017,CA-604,Native Hawaiian or Pacific Islander,In_Combination,12
2017,CA-604,White,Alone,1364
2017,CA-604,White,In_Combination,1505
2017,CA-606,"American Indian, Alaska Native, or Indigenous",Alone,16
2017,CA-606,"American Indian, Alaska Native, or Indigenous",In_Combination,46
2017,CA-606,Asian or Asian American,Alone,37
2017,CA-606,Asian or Asian American,In_Combination,24
2017,CA-606,"Black, African American or African",Alone,1197
2017,CA-606,"Black, African American or African",In_Combination,137
2017,CA-606,Hispanic/Latina/e/o,Alone,25
2017,CA-606,Hispanic/Latina/e/o,In_Combination,622
2017,CA-606,Native Hawaiian or Pacific Islander,Alone,31
2017,CA-606,Native Hawaiian or Pacific Islander,In_Combination,23
2017,CA-606,White,Alone,640
2017,CA-606,White,In_Combination,611
2017,CA-607,"American Indian, Alaska Native, or Indigenous",Alone,*
2017,CA-607,"American Indian, Alaska Native, or Indigenous",In_Combination,23
2017,CA-607,Asian or Asian American,Alone,24
2017,CA-607,Asian or Asian American,In_Combination,*
2017,CA-607,"Black, African American or African",Alone,447
2017,CA-607,"Black, African American or African",In_Combination,51
2017,CA-607,Hispanic/Latina/e/o,Alone,31
2017,CA-607,Hispanic/Latina/e/o,In_Combination,424
2017,CA-607,Native Hawaiian or Pacific Islander,Alone,18
2017,CA-607,Native Hawaiian or Pacific Islander,In_Combination,15
2017,CA-607,White,Alone,278
2017,CA-607,White,In_Combination,392
2017,CA-608,"American Indian, Alaska Native, or Indigenous",Alone,65
2017,CA-608,"American Indian, Alaska Native, or Indigenous",In_Combination,163
2017,CA-608,Asian or Asian American,Alone,61
2017,CA-608,Asian or Asian American,In_Combination,29
2017,CA-608,"Black, African American or African",Alone,1430
2017,CA-608,"Black, African American or African",In_Combination,211
2017,CA-608,Hispanic/Latina/e/o,Alone,64
2017,CA-608,Hispanic/Latina/e/o,In_Combination,2363
2017,CA-608,Native Hawaiian or Pacific Islander,Alone,59
2017,CA-608,Native Hawaiian or Pacific Islander,In_Combination,48
2017,CA-608,White,Alone,2349
2017,CA-608,White,In_Combination,2281
2017,CA-609,"American Indian, Alaska Native, or Indigenous",Alone,69
2017,CA-609,"American Indian, Alaska Native, or Indigenous",In_Combination,156
2017,CA-609,Asian or Asian American,Alone,41
2017,CA-609,Asian or Asian American,In_Combination,33
2017,CA-609,"Black, African American or African",Alone,3535
2017,CA-609,"Black, African American or African",In_Combination,423
2017,CA-609,Hispanic/Latina/e/o,Alone,42
2017,CA-609,Hispanic/Latina/e/o,In_Combination,2644
2017,CA-609,Native Hawaiian or Pacific Islander,Alone,40
2017,CA-609,Native Hawaiian or Pacific Islander,In_Combination,53
2017,CA-609,White,Alone,1706
2017,CA-609,White,In_Combination,2464
2017,CA-611,"American Indian, Alaska Native, or Indigenous",Alone,17
2017,CA-611,"American Indian, Alaska Native, or Indigenous",In_Combination,50
2017,CA-611,Asian or Asian American,Alone,13
2017,CA-611,Asian or Asian American,In_Combination,12
2017,CA-611,"Black, African American or African",Alone,119
2017,CA-611,"Black, African American or African",In_Combination,53
2017,CA-611,Hispanic/Latina/e/o,Alone,25
2017,CA-611,Hispanic/Latina/e/o,In_Combination,959
2017,CA-611,Native Hawaiian or Pacific Islander,Alone,16
2017,CA-611,Native Hawaiian or Pacific Islander,In_Combination,13
2017,CA-611,White,Alone,711
2017,CA-611,White,In_Combination,975
2017,CA-612,"American Indian, Alaska Native, or Indigenous",Alone,*
2017,CA-612,"American Indian, Alaska Native, or Indigenous",In_Combination,*
2017,CA-612,Asian or Asian American,Alone,13
2017,CA-612,Asian or Asian American,In_Combination,*
2017,CA-612,"Black, African American or African",Alone,92
2017,CA-612,"Black, African American or African",In_Combination,21
2017,CA-612,Hispanic/Latina/e/o,Alone,*
2017,CA-612,Hispanic/Latina/e/o,In_Combination,189
2017,CA-612,Native Hawaiian or Pacific Islander,Alone,*
2017,CA-612,Native Hawaiian or Pacific Islander,In_Combination,*
2017,CA-612,White,Alone,105
2017,CA-612,White,In_Combination,181
2017,CA-613,"American Indian, Alaska Native, or Indigenous",Alone,*
2017,CA-613,"American Indian, Alaska Native, or Indigenous",In_Combination,*
2017,CA-613,Asian or Asian American,Alone,*
2017,CA-613,Asian or Asian American,In_Combination,*
2017,CA-613,"Black, African American or African",Alone,11
2017,CA-613,"Black, African American or African",In_Combination,*
2017,CA-613,Hispanic/Latina/e/o,Alone,*
2017,CA-613,Hispanic/Latina/e/o,In_Combination,434
2017,CA-613,Native Hawaiian or Pacific Islander,Alone,*
2017,CA-613,Native Hawaiian or Pacific Islander,In_Combination,*
2017,CA-613,White,Alone,40
2017,CA-613,White,In_Combination,433
2017,CA-614,"American Indian, Alaska Native, or Indigenous",Alone,37
