CALENDAR_YEAR,LOCATION_ID,LOCATION,GENDER_CATEGORY,GENDER_HOMELESSNESS_COUNT,RACE_CATEGORY,RACE_COMBINATION,RACE_COUNT
2017,CA-500,Santa Clara County CoC,"Culturally Specific, Non-Binary, and/or a Different Identity",*,"American Indian, Alaska Native, or Indigenous",Alone,119
2017,CA-500,Santa Clara County CoC,"Culturally Specific, Non-Binary, and/or a Different Identity",*,"American Indian, Alaska Native, or Indigenous",In_Combination,840
2017,CA-500,Santa Clara County CoC,"Culturally Specific, Non-Binary, and/or a Different Identity",*,Asian or Asian American,Alone,378
2017,CA-500,Santa Clara County CoC,"Culturally Specific, Non-Binary, and/or a Different Identity",*,Asian or Asian American,In_Combination,135
2017,CA-500,Santa Clara County CoC,"Culturally Specific, Non-Binary, and/or a Different Identity",*,"Black, African American or African",Alone,1373
2017,CA-500,Santa Clara County CoC,"Culturally Specific, Non-Binary, and/or a Different Identity",*,"Black, African American or African",In_Combination,362
2017,CA-500,Santa Clara County CoC,"Culturally Specific, Non-Binary, and/or a Different Identity",*,Hispanic/Latina/e/o,Alone,258
2017,CA-500,Santa Clara County CoC,"Culturally Specific, Non-Binary, and/or a Different Identity",*,Hispanic/Latina/e/o,In_Combination,4524
2017,CA-500,Santa Clara County CoC,"Culturally Specific, Non-Binary, and/or a Different Identity",*,Native Hawaiian or Pacific Islander,Alone,175
2017,CA-500,Santa Clara County CoC,"Culturally Specific, Non-Binary, and/or a Different Identity",*,Native Hawaiian or Pacific Islander,In_Combination,178
2017,CA-500,Santa Clara County CoC,"Culturally Specific, Non-Binary, and/or a Different Identity",*,White,Alone,2460
2017,CA-500,Santa Clara County CoC,"Culturally Specific, Non-Binary, and/or a Different Identity",*,White,In_Combination,4099
2017,CA-500,Santa Clara County CoC,Transgender,41,"American Indian, Alaska Native, or Indigenous",Alone,119
2017,CA-500,Santa Clara County CoC,Transgender,41,"American Indian, Alaska Native, or Indigenous",In_Combination,840
2017,CA-500,Santa Clara County CoC,Transgender,41,Asian or Asian American,Alone,378
2017,CA-500,Santa Clara County CoC,Transgender,41,Asian or Asian American,In_Combination,135
2017,CA-500,Santa Clara County CoC,Transgender,41,"Black, African American or African",Alone,1373
2017,CA-500,Santa Clara County CoC,Transgender,41,"Black, African American or African",In_Combination,362
2017,CA-500,Santa Clara County CoC,Transgender,41,Hispanic/Latina/e/o,Alone,258
2017,CA-500,Santa Clara County CoC,Transgender,41,Hispanic/Latina/e/o,In_Combination,4524
2017,CA-500,Santa Clara County CoC,Transgender,41,Native Hawaiian or Pacific Islander,Alone,175
2017,CA-500,Santa Clara County CoC,Transgender,41,Native Hawaiian or Pacific Islander,In_Combination,178
2017,CA-500,Santa Clara County CoC,Transgender,41,White,Alone,2460
2017,CA-500,Santa Clara County CoC,Transgender,41,White,In_Combination,4099
2017,CA-501,San Francisco CoC,Cisgender Man,2411,"American Indian, Alaska Native, or Indigenous",Alone,71
2017,CA-501,San Francisco CoC,Cisgender Man,2411,"American Indian, Alaska Native, or Indigenous",In_Combination,298
2017,CA-501,San Francisco CoC,Cisgender Man,2411,Asian or Asian American,Alone,174
2017,CA-501,San Francisco CoC,Cisgender Man,2411,Asian or Asian American,In_Combination,57
2017,CA-501,San Francisco CoC,Cisgender Man,2411,"Black, African American or African",Alone,1593
2017,CA-501,San Francisco CoC,Cisgender Man,2411,"Black, African American or African",In_Combination,234
2017,CA-501,San Francisco CoC,Cisgender Man,2411,Hispanic/Latina/e/o,Alone,206
2017,CA-501,San Francisco CoC,Cisgender Man,2411,Hispanic/Latina/e/o,In_Combination,991
2017,CA-501,San Francisco CoC,Cisgender Man,2411,Native Hawaiian or Pacific Islander,Alone,94
2017,CA-501,San Francisco CoC,Cisgender Man,2411,Native Hawaiian or Pacific Islander,In_Combination,64
2017,CA-501,San Francisco CoC,Cisgender Man,2411,White,Alone,810
2017,CA-501,San Francisco CoC,Cisgender Man,2411,White,In_Combination,763
2017,CA-501,San Francisco CoC,Cisgender Woman,1699,"American Indian, Alaska Native, or Indigenous",Alone,71
2017,CA-501,San Francisco CoC,Cisgender Woman,1699,"American Indian, Alaska Native, or Indigenous",In_Combination,298
2017,CA-501,San Francisco CoC,Cisgender Woman,1699,Asian or Asian American,Alone,174
2017,CA-501,San Francisco CoC,Cisgender Woman,1699,Asian or Asian American,In_Combination,57
2017,CA-501,San Francisco CoC,Cisgender Woman,1699,"Black, African American or African",Alone,1593
2017,CA-501,San Francisco CoC,Cisgender Woman,1699,"Black, African American or African",In_Combination,234
2017,CA-501,San Francisco CoC,Cisgender Woman,1699,Hispanic/Latina/e/o,Alone,206
2017,CA-501,San Francisco CoC,Cisgender Woman,1699,Hispanic/Latina/e/o,In_Combination,991
2017,CA-501,San Francisco CoC,Cisgender Woman,1699,Native Hawaiian or Pacific Islander,Alone,94
2017,CA-501,San Francisco CoC,Cisgender Woman,1699,Native Hawaiian or Pacific Islander,In_Combination,64
2017,CA-501,San Francisco CoC,Cisgender Woman,1699,White,Alone,810
2017,CA-501,San Francisco CoC,Cisgender Woman,1699,White,In_Combination,763
2017,CA-501,San Francisco CoC,Client doesn't know,197,"American Indian, Alaska Native, or Indigenous",Alone,71
2017,CA-501,San Francisco CoC,Client doesn't know,197,"American Indian, Alaska Native, or Indigenous",In_Combination,298
2017,CA-501,San Francisco CoC,Client doesn't know,197,Asian or Asian American,Alone,174
2017,CA-501,San Francisco CoC,Client doesn't know,197,Asian or Asian American,In_Combination,57
2017,CA-501,San Francisco CoC,Client doesn't know,197,"Black, African American or African",Alone,1593
2017,CA-501,San Francisco CoC,Client doesn't know,197,"Black, African American or African",In_Combination,234
2017,CA-501,San Francisco CoC,Client doesn't know,197,Hispanic/Latina/e/o,Alone,206
2017,CA-501,San Francisco CoC,Client doesn't know,197,Hispanic/Latina/e/o,In_Combination,991
2017,CA-501,San Francisco CoC,Client doesn't know,197,Native Hawaiian or Pacific Islander,Alone,94
2017,CA-501,San Francisco CoC,Client doesn't know,197,Native Hawaiian or Pacific Islander,In_Combination,64
2017,CA-501,San Francisco CoC,Client doesn't know,197,White,Alone,810
2017,CA-501,San Francisco CoC,Client doesn't know,197,White,In_Combination,763
2017,CA-501,San Francisco CoC,"Culturally Specific, Non-Binary, and/or a Different Identity",20,"American Indian, Alaska Native, or Indigenous",Alone,71
2017,CA-501,San Francisco CoC,"Culturally Specific, Non-Binary, and/or a Different Identity",20,"American Indian, Alaska Native, or Indigenous",In_Combination,298
2017,CA-501,San Francisco CoC,"Culturally Specific, Non-Binary, and/or a Different Identity",20,Asian or Asian American,Alone,174
2017,CA-501,San Francisco CoC,"Culturally Specific, Non-Binary, and/or a Different Identity",20,Asian or Asian American,In_Combination,57
2017,CA-501,San Francisco CoC,"Culturally Specific, Non-Binary, and/or a Different Identity",20,"Black, African American or African",Alone,1593
2017,CA-501,San Francisco CoC,"Culturally Specific, Non-Binary, and/or a Different Identity",20,"Black, African American or African",In_Combination,234
2017,CA-501,San Francisco CoC,"Culturally Specific, Non-Binary, and/or a Different Identity",20,Hispanic/Latina/e/o,Alone,206
2017,CA-501,San Francisco CoC,"Culturally Specific, Non-Binary, and/or a Different Identity",20,Hispanic/Latina/e/o,In_Combination,991
2017,CA-501,San Francisco CoC,"Culturally Specific, Non-Binary, and/or a Different Identity",20,Native Hawaiian or Pacific Islander,Alone,94
2017,CA-501,San Francisco CoC,"Culturally Specific, Non-Binary, and/or a Different Identity",20,Native Hawaiian or Pacific Islander,In_Combination,64
2017,CA-501,San Francisco CoC,"Culturally Specific, Non-Binary, and/or a Different Identity",20,White,Alone,810
2017,CA-501,San Francisco CoC,"Culturally Specific, Non-Binary, and/or a Different Identity",20,White,In_Combination,763
2017,CA-501,San Francisco CoC,Questioning,*,"American Indian, Alaska Native, or Indigenous",Alone,71
2017,CA-501,San Francisco CoC,Questioning,*,"American Indian, Alaska Native, or Indigenous",In_Combination,298
2017,CA-501,San Francisco CoC,Questioning,*,Asian or Asian American,Alone,174
2017,CA-501,San Francisco CoC,Questioning,*,Asian or Asian American,In_Combination,57
2017,CA-501,San Francisco CoC,Questioning,*,"Black, African American or African",Alone,1593
2017,CA-501,San Francisco CoC,Questioning,*,"Black, African American or African",In_Combination,234
2017,CA-501,San Francisco CoC,Questioning,*,Hispanic/Latina/e/o,Alone,206
2017,CA-501,San Francisco CoC,Questioning,*,Hispanic/Latina/e/o,In_Combination,991
2017,CA-501,San Francisco CoC,Questioning,*,Native Hawaiian or Pacific Islander,Alone,94
2017,CA-501,San Francisco CoC,Questioning,*,Native Hawaiian or Pacific Islander,In_Combination,64
2017,CA-501,San Francisco CoC,Questioning,*,White,Alone,810
2017,CA-501,San Francisco CoC,Questioning,*,White,In_Combination,763
2017,CA-501,San Francisco CoC,Transgender,53,"American Indian, Alaska Native, or Indigenous",Alone,71
2017,CA-501,San Francisco CoC,Transgender,53,"American Indian, Alaska Native, or Indigenous",In_Combination,298
2017,CA-501,San Francisco CoC,Transgender,53,Asian or Asian American,Alone,174
2017,CA-501,San Francisco CoC,Transgender,53,Asian or Asian American,In_Combination,57
2017,CA-501,San Francisco CoC,Transgender,53,"Black, African American or African",Alone,1593
2017,CA-501,San Francisco CoC,Transgender,53,"Black, African American or African",In_Combination,234
2017,CA-501,San Francisco CoC,Transgender,53,Hispanic/Latina/e/o,Alone,206
2017,CA-501,San Francisco CoC,Transgender,53,Hispanic/Latina/e/o,In_Combination,991
2017,CA-501,San Francisco CoC,Transgender,53,Native Hawaiian or Pacific Islander,Alone,94
2017,CA-501,San Francisco CoC,Transgender,53,Native Hawaiian or Pacific Islander,In_Combination,64
2017,CA-501,San Francisco CoC,Transgender,53,White,Alone,810
2017,CA-501,San Francisco CoC,Transgender,53,White,In_Combination,763
2017,CA-502,Alameda County CoC,Cisgender Man,3542,"American Indian, Alaska Native, or Indigenous",Alone,70
2017,CA-502,Alameda County CoC,Cisgender Man,3542,"American Indian, Alaska Native, or Indigenous",In_Combination,406
2017,CA-502,Alameda County CoC,Cisgender Man,3542,Asian or Asian American,Alone,172
2017,CA-502,Alameda County CoC,Cisgender Man,3542,Asian or Asian American,In_Combination,123
2017,CA-502,Alameda County CoC,Cisgender Man,3542,"Black, African American or African",Alone,3461
2017,CA-502,Alameda County CoC,Cisgender Man,3542,"Black, African American or African",In_Combination,616
2017,CA-502,Alameda County CoC,Cisgender Man,3542,Hispanic/Latina/e/o,Alone,46
2017,CA-502,Alameda County CoC,Cisgender Man,3542,Hispanic/Latina/e/o,In_Combination,1235
2017,CA-502,Alameda County CoC,Cisgender Man,3542,Native Hawaiian or Pacific Islander,Alone,72
2017,CA-502,Alameda County CoC,Cisgender Man,3542,Native Hawaiian or Pacific Islander,In_Combination,147
2017,CA-502,Alameda County CoC,Cisgender Man,3542,White,Alone,983
2017,CA-502,Alameda County CoC,Cisgender Man,3542,White,In_Combination,1132
2017,CA-502,Alameda County CoC,Cisgender Woman,3011,"American Indian, Alaska Native, or Indigenous",Alone,70
2017,CA-502,Alameda County CoC,Cisgender Woman,3011,"American Indian, Alaska Native, or Indigenous",In_Combination,406
2017,CA-502,Alameda County CoC,Cisgender Woman,3011,Asian or Asian American,Alone,172
2017,CA-502,Alameda County CoC,Cisgender Woman,3011,Asian or Asian American,In_Combination,123
2017,CA-502,Alameda County CoC,Cisgender Woman,3011,"Black, African American or African",Alone,3461
2017,CA-502,Alameda County CoC,Cisgender Woman,3011,"Black, African American or African",In_Combination,616
2017,CA-502,Alameda County CoC,Cisgender Woman,3011,Hispanic/Latina/e/o,Alone,46
2017,CA-502,Alameda County CoC,Cisgender Woman,3011,Hispanic/Latina/e/o,In_Combination,1235
2017,CA-502,Alameda County CoC,Cisgender Woman,3011,Native Hawaiian or Pacific Islander,Alone,72
2017,CA-502,Alameda County CoC,Cisgender Woman,3011,Native Hawaiian or Pacific Islander,In_Combination,147
2017,CA-502,Alameda County CoC,Cisgender Woman,3011,White,Alone,983
2017,CA-502,Alameda County CoC,Cisgender Woman,3011,White,In_Combination,1132
2017,CA-502,Alameda County CoC,Client doesn't know,22,"American Indian, Alaska Native, or Indigenous",Alone,70
2017,CA-502,Alameda County CoC,Client doesn't know,22,"American Indian, Alaska Native, or Indigenous",In_Combination,406
2017,CA-502,Alameda County CoC,Client doesn't know,22,Asian or Asian American,Alone,172
2017,CA-502,Alameda County CoC,Client doesn't know,22,Asian or Asian American,In_Combination,123
2017,CA-502,Alameda County CoC,Client doesn't know,22,"Black, African American or African",Alone,3461
2017,CA-502,Alameda County CoC,Client doesn't know,22,"Black, African American or African",In_Combination,616
2017,CA-502,Alameda County CoC,Client doesn't know,22,Hispanic/Latina/e/o,Alone,46
2017,CA-502,Alameda County CoC,Client doesn't know,22,Hispanic/Latina/e/o,In_Combination,1235
2017,CA-502,Alameda County CoC,Client doesn't know,22,Native Hawaiian or Pacific Islander,Alone,72
2017,CA-502,Alameda County CoC,Client doesn't know,22,Native Hawaiian or Pacific Islander,In_Combination,147
2017,CA-502,Alameda County CoC,Client doesn't know,22,White,Alone,983
2017,CA-502,Alameda County CoC,Client doesn't know,22,White,In_Combination,1132
2017,CA-502,Alameda County CoC,"Culturally Specific, Non-Binary, and/or a Different Identity",*,"American Indian, Alaska Native, or Indigenous",Alone,70
2017,CA-502,Alameda County CoC,"Culturally Specific, Non-Binary, and/or a Different Identity",*,"American Indian, Alaska Native, or Indigenous",In_Combination,406
2017,CA-502,Alameda County CoC,"Culturally Specific, Non-Binary, and/or a Different Identity",*,Asian or Asian American,Alone,172
2017,CA-502,Alameda County CoC,"Culturally Specific, Non-Binary, and/or a Different Identity",*,Asian or Asian American,In_Combination,123
2017,CA-502,Alameda County CoC,"Culturally Specific, Non-Binary, and/or a Different Identity",*,"Black, African American or African",Alone,3461
2017,CA-502,Alameda County CoC,"Culturally Specific, Non-Binary, and/or a Different Identity",*,"Black, African American or African",In_Combination,616
2017,CA-502,Alameda County CoC,"Culturally Specific, Non-Binary, and/or a Different Identity",*,Hispanic/Latina/e/o,Alone,46
2017,CA-502,Alameda County CoC,"Culturally Specific, Non-Binary, and/or a Different Identity",*,Hispanic/Latina/e/o,In_Combination,1235
2017,CA-502,Alameda County CoC,"Culturally Specific, Non-Binary, and/or a Different Identity",*,Native Hawaiian or Pacific Islander,Alone,72
2017,CA-502,Alameda County CoC,"Culturally Specific, Non-Binary, and/or a Different Identity",*,Native Hawaiian or Pacific Islander,In_Combination,147
2017,CA-502,Alameda County CoC,"Culturally Specific, Non-Binary, and/or a Different Identity",*,White,Alone,983
2017,CA-502,Alameda County CoC,"Culturally Specific, Non-Binary, and/or a Different Identity",*,White,In_Combination,1132
2017,CA-502,Alameda County CoC,Questioning,*,"American Indian, Alaska Native, or Indigenous",Alone,70
2017,CA-502,Alameda County CoC,Questioning,*,"American Indian, Alaska Native, or Indigenous",In_Combination,406
2017,CA-502,Alameda County CoC,Questioning,*,Asian or Asian American,Alone,172
2017,CA-502,Alameda County CoC,Questioning,*,Asian or Asian American,In_Combination,123
2017,CA-502,Alameda County CoC,Questioning,*,"Black, African American or African",Alone,3461
2017,CA-502,Alameda County CoC,Questioning,*,"Black, African American or African",In_Combination,616
2017,CA-502,Alameda County CoC,Questioning,*,Hispanic/Latina/e/o,Alone,46
2017,CA-502,Alameda County CoC,Questioning,*,Hispanic/Latina/e/o,In_Combination,1235
2017,CA-502,Alameda County CoC,Questioning,*,Native Hawaiian or Pacific Islander,Alone,72
2017,CA-502,Alameda County CoC,Questioning,*,Native Hawaiian or Pacific Islander,In_Combination,147
2017,CA-502,Alameda County CoC,Questioning,*,White,Alone,983
2017,CA-502,Alameda County CoC,Questioning,*,White,In_Combination,1132
2017,CA-502,Alameda County CoC,Transgender,19,"American Indian, Alaska Native, or Indigenous",Alone,70
2017,CA-502,Alameda County CoC,Transgender,19,"American Indian, Alaska Native, or Indigenous",In_Combination,406
2017,CA-502,Alameda County CoC,Transgender,19,Asian or Asian American,Alone,172
2017,CA-502,Alameda County CoC,Transgender,19,Asian or Asian American,In_Combination,123
2017,CA-502,Alameda County CoC,Transgender,19,"Black, African American or African",Alone,3461
2017,CA-502,Alameda County CoC,Transgender,19,"Black, African American or African",In_Combination,616
2017,CA-502,Alameda County CoC,Transgender,19,Hispanic/Latina/e/o,Alone,46
2017,CA-502,Alameda County CoC,Transgender,19,Hispanic/Latina/e/o,In_Combination,1235
2017,CA-502,Alameda County CoC,Transgender,19,Native Hawaiian or Pacific Islander,Alone,72
2017,CA-502,Alameda County CoC,Transgender,19,Native Hawaiian or Pacific Islander,In_Combination,147
2017,CA-502,Alameda County CoC,Transgender,19,White,Alone,983
2017,CA-502,Alameda County CoC,Transgender,19,White,In_Combination,1132
2017,CA-503,Sacramento County CoC,Cisgender Man,5879,"American Indian, Alaska Native, or Indigenous",Alone,150
2017,CA-503,Sacramento County CoC,Cisgender Man,5879,"American Indian, Alaska Native, or Indigenous",In_Combination,482
2017,CA-503,Sacramento County CoC,Cisgender Man,5879,Asian or Asian American,Alone,127
2017,CA-503,Sacramento County CoC,Cisgender Man,5879,Asian or Asian American,In_Combination,107
2017,CA-503,Sacramento County CoC,Cisgender Man,5879,"Black, African American or African",Alone,4722
2017,CA-503,Sacramento County CoC,Cisgender Man,5879,"Black, African American or African",In_Combination,919
2017,CA-503,Sacramento County CoC,Cisgender Man,5879,Hispanic/Latina/e/o,Alone,49
2017,CA-503,Sacramento County CoC,Cisgender Man,5879,Hispanic/Latina/e/o,In_Combination,1909
2017,CA-503,Sacramento County CoC,Cisgender Man,5879,Native Hawaiian or Pacific Islander,Alone,152
2017,CA-503,Sacramento County CoC,Cisgender Man,5879,Native Hawaiian or Pacific Islander,In_Combination,129
2017,CA-503,Sacramento County CoC,Cisgender Man,5879,White,Alone,3389
2017,CA-503,Sacramento County CoC,Cisgender Man,5879,White,In_Combination,2001
2017,CA-503,Sacramento County CoC,Cisgender Woman,5302,"American Indian, Alaska Native, or Indigenous",Alone,150
2017,CA-503,Sacramento County CoC,Cisgender Woman,5302,"American Indian, Alaska Native, or Indigenous",In_Combination,482
2017,CA-503,Sacramento County CoC,Cisgender Woman,5302,Asian or Asian American,Alone,127
2017,CA-503,Sacramento County CoC,Cisgender Woman,5302,Asian or Asian American,In_Combination,107
2017,CA-503,Sacramento County CoC,Cisgender Woman,5302,"Black, African American or African",Alone,4722
2017,CA-503,Sacramento County CoC,Cisgender Woman,5302,"Black, African American or African",In_Combination,919
2017,CA-503,Sacramento County CoC,Cisgender Woman,5302,Hispanic/Latina/e/o,Alone,49
2017,CA-503,Sacramento County CoC,Cisgender Woman,5302,Hispanic/Latina/e/o,In_Combination,1909
2017,CA-503,Sacramento County CoC,Cisgender Woman,5302,Native Hawaiian or Pacific Islander,Alone,152
2017,CA-503,Sacramento County CoC,Cisgender Woman,5302,Native Hawaiian or Pacific Islander,In_Combination,129
2017,CA-503,Sacramento County CoC,Cisgender Woman,5302,White,Alone,3389
2017,CA-503,Sacramento County CoC,Cisgender Woman,5302,White,In_Combination,2001
2017,CA-503,Sacramento County CoC,Client doesn't know,*,"American Indian, Alaska Native, or Indigenous",Alone,150
2017,CA-503,Sacramento County CoC,Client doesn't know,*,"American Indian, Alaska Native, or Indigenous",In_Combination,482
2017,CA-503,Sacramento County CoC,Client doesn't know,*,Asian or Asian American,Alone,127
2017,CA-503,Sacramento County CoC,Client doesn't know,*,Asian or Asian American,In_Combination,107
2017,CA-503,Sacramento County CoC,Client doesn't know,*,"Black, African American or African",Alone,4722
2017,CA-503,Sacramento County CoC,Client doesn't know,*,"Black, African American or African",In_Combination,919
2017,CA-503,Sacramento County CoC,Client doesn't know,*,Hispanic/Latina/e/o,Alone,49
2017,CA-503,Sacramento County CoC,Client doesn't know,*,Hispanic/Latina/e/o,In_Combination,1909
2017,CA-503,Sacramento County CoC,Client doesn't know,*,Native Hawaiian or Pacific Islander,Alone,152
2017,CA-503,Sacramento County CoC,Client doesn't know,*,Native Hawaiian or Pacific Islander,In_Combination,129
2017,CA-503,Sacramento County CoC,Client doesn't know,*,White,Alone,3389
2017,CA-503,Sacramento County CoC,Client doesn't know,*,White,In_Combination,2001
2017,CA-503,Sacramento County CoC,"Culturally Specific, Non-Binary, and/or a Different Identity",12,"American Indian, Alaska Native, or Indigenous",Alone,150
2017,CA-503,Sacramento County CoC,"Culturally Specific, Non-Binary, and/or a Different Identity",12,"American Indian, Alaska Native, or Indigenous",In_Combination,482
2017,CA-503,Sacramento County CoC,"Culturally Specific, Non-Binary, and/or a Different Identity",12,Asian or Asian American,Alone,127
2017,CA-503,Sacramento County CoC,"Culturally Specific, Non-Binary, and/or a Different Identity",12,Asian or Asian American,In_Combination,107
2017,CA-503,Sacramento County CoC,"Culturally Specific, Non-Binary, and/or a Different Identity",12,"Black, African American or African",Alone,4722
2017,CA-503,Sacramento County CoC,"Culturally Specific, Non-Binary, and/or a Different Identity",12,"Black, African American or African",In_Combination,919
2017,CA-503,Sacramento County CoC,"Culturally Specific, Non-Binary, and/or a Different Identity",12,Hispanic/Latina/e/o,Alone,49
2017,CA-503,Sacramento County CoC,"Culturally Specific, Non-Binary, and/or a Different Identity",12,Hispanic/Latina/e/o,In_Combination,1909
2017,CA-503,Sacramento County CoC,"Culturally Specific, Non-Binary, and/or a Different Identity",12,Native Hawaiian or Pacific Islander,Alone,152
2017,CA-503,Sacramento County CoC,"Culturally Specific, Non-Binary, and/or a Different Identity",12,Native Hawaiian or Pacific Islander,In_Combination,129
2017,CA-503,Sacramento County CoC,"Culturally Specific, Non-Binary, and/or a Different Identity",12,White,Alone,3389
2017,CA-503,Sacramento County CoC,"Culturally Specific, Non-Binary, and/or a Different Identity",12,White,In_Combination,2001
2017,CA-503,Sacramento County CoC,Transgender,32,"American Indian, Alaska Native, or Indigenous",Alone,150
2017,CA-503,Sacramento County CoC,Transgender,32,"American Indian, Alaska Native, or Indigenous",In_Combination,482
2017,CA-503,Sacramento County CoC,Transgender,32,Asian or Asian American,Alone,127
2017,CA-503,Sacramento County CoC,Transgender,32,Asian or Asian American,In_Combination,107
2017,CA-503,Sacramento County CoC,Transgender,32,"Black, African American or African",Alone,4722
2017,CA-503,Sacramento County CoC,Transgender,32,"Black, African American or African",In_Combination,919
2017,CA-503,Sacramento County CoC,Transgender,32,Hispanic/Latina/e/o,Alone,49
2017,CA-503,Sacramento County CoC,Transgender,32,Hispanic/Latina/e/o,In_Combination,1909
2017,CA-503,Sacramento County CoC,Transgender,32,Native Hawaiian or Pacific Islander,Alone,152
2017,CA-503,Sacramento County CoC,Transgender,32,Native Hawaiian or Pacific Islander,In_Combination,129
2017,CA-503,Sacramento County CoC,Transgender,32,White,Alone,3389
2017,CA-503,Sacramento County CoC,Transgender,32,White,In_Combination,2001
2017,CA-504,Sonoma County CoC,Cisgender Man,1742,"American Indian, Alaska Native, or Indigenous",Alone,64
2017,CA-504,Sonoma County CoC,Cisgender Man,1742,"American Indian, Alaska Native, or Indigenous",In_Combination,441
2017,CA-504,Sonoma County CoC,Cisgender Man,1742,Asian or Asian American,Alone,25
2017,CA-504,Sonoma County CoC,Cisgender Man,1742,Asian or Asian American,In_Combination,34
2017,CA-504,Sonoma County CoC,Cisgender Man,1742,"Black, African American or African",Alone,188
2017,CA-504,Sonoma County CoC,Cisgender Man,1742,"Black, African American or African",In_Combination,95
2017,CA-504,Sonoma County CoC,Cisgender Man,1742,Hispanic/Latina/e/o,Alone,37
2017,CA-504,Sonoma County CoC,Cisgender Man,1742,Hispanic/Latina/e/o,In_Combination,768
2017,CA-504,Sonoma County CoC,Cisgender Man,1742,Native Hawaiian or Pacific Islander,Alone,26
2017,CA-504,Sonoma County CoC,Cisgender Man,1742,Native Hawaiian or Pacific Islander,In_Combination,48
2017,CA-504,Sonoma County CoC,Cisgender Man,1742,White,Alone,1611
2017,CA-504,Sonoma County CoC,Cisgender Man,1742,White,In_Combination,638
2017,CA-504,Sonoma County CoC,Cisgender Woman,1320,"American Indian, Alaska Native, or Indigenous",Alone,64
