CALENDAR_YEAR,LOCATION_ID,LOCATION,GENDER,EXPERIENCING_HOMELESSNESS_CNT
2017,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",Client doesn't know,*
2017,CA-517,Napa County CoC,Cisgender Man,577
2017,CA-517,Napa County CoC,Cisgender Woman,369
2017,CA-517,Napa County CoC,Transgender,*
2017,CA-518,Solano County CoC,Cisgender Man,541
2017,CA-518,Solano County CoC,Cisgender Woman,415
2017,CA-518,Solano County CoC,Client doesn't know,*
2017,CA-518,Solano County CoC,"Culturally Specific, Non-Binary, and/or a Different Identity",*
2017,CA-519,Butte County CoC,Cisgender Man,758
2017,CA-519,Butte County CoC,Cisgender Woman,615
2017,CA-519,Butte County CoC,"Culturally Specific, Non-Binary, and/or a Different Identity",*
2017,CA-519,Butte County CoC,Transgender,*
2017,CA-520,Merced County CoC,Cisgender Man,403
2017,CA-520,Merced County CoC,Cisgender Woman,200
2017,CA-520,Merced County CoC,Transgender,*
2017,CA-521,Yolo County CoC,Cisgender Man,270
2017,CA-521,Yolo County CoC,Cisgender Woman,258
2017,CA-521,Yolo County CoC,"Culturally Specific, Non-Binary, and/or a Different Identity",*
2017,CA-521,Yolo County CoC,Transgender,*
2017,CA-522,Humboldt County CoC,Cisgender Man,559
2017,CA-522,Humboldt County CoC,Cisgender Woman,436
2017,CA-522,Humboldt County CoC,Client doesn't know,*
2017,CA-522,Humboldt County CoC,"Culturally Specific, Non-Binary, and/or a Different Identity",*
2017,CA-522,Humboldt County CoC,Questioning,*
2017,CA-522,Humboldt County CoC,Transgender,*
2017,CA-523,"Colusa, Glenn, Trinity Counties CoC",Cisgender Man,90
2017,CA-523,"Colusa, Glenn, Trinity Counties CoC",Cisgender Woman,108
2017,CA-525,El Dorado County CoC,Cisgender Man,185
2017,CA-525,El Dorado County CoC,Cisgender Woman,113
2017,CA-525,El Dorado County CoC,"Culturally Specific, Non-Binary, and/or a Different Identity",*
2017,CA-525,El Dorado County CoC,Transgender,*
2017,CA-526,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",Cisgender Man,243
2017,CA-526,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",Cisgender Woman,305
2017,CA-527,Tehama County CoC,Cisgender Man,254
2017,CA-527,Tehama County CoC,Cisgender Woman,142
2017,CA-529,Lake County CoC,Cisgender Man,15
2017,CA-529,Lake County CoC,Cisgender Woman,26
2017,CA-530,"Alpine, Inyo, Mono Counties CoC",Cisgender Man,88
2017,CA-530,"Alpine, Inyo, Mono Counties CoC",Cisgender Woman,93
2017,CA-531,Nevada County CoC,Cisgender Man,290
2017,CA-531,Nevada County CoC,Cisgender Woman,170
2017,CA-531,Nevada County CoC,Client doesn't know,*
2017,CA-531,Nevada County CoC,"Culturally Specific, Non-Binary, and/or a Different Identity",*
2017,CA-600,Los Angeles County CoC,Cisgender Man,31394
2017,CA-600,Los Angeles County CoC,Cisgender Woman,22786
2017,CA-600,Los Angeles County CoC,Client doesn't know,885
2017,CA-600,Los Angeles County CoC,"Culturally Specific, Non-Binary, and/or a Different Identity",50
2017,CA-600,Los Angeles County CoC,Transgender,339
2017,CA-601,San Diego County CoC,Cisgender Man,6994
2017,CA-601,San Diego County CoC,Cisgender Woman,4509
2017,CA-601,San Diego County CoC,Client doesn't know,25
2017,CA-601,San Diego County CoC,"Culturally Specific, Non-Binary, and/or a Different Identity",*
2017,CA-601,San Diego County CoC,Transgender,55
2017,CA-602,Orange County CoC,Cisgender Man,5522
2017,CA-602,Orange County CoC,Cisgender Woman,4825
2017,CA-602,Orange County CoC,Client doesn't know,157
2017,CA-602,Orange County CoC,"Culturally Specific, Non-Binary, and/or a Different Identity",*
2017,CA-602,Orange County CoC,Transgender,17
2017,CA-603,Santa Barbara County CoC,Cisgender Man,1673
2017,CA-603,Santa Barbara County CoC,Cisgender Woman,1146
2017,CA-603,Santa Barbara County CoC,Client doesn't know,*
2017,CA-603,Santa Barbara County CoC,"Culturally Specific, Non-Binary, and/or a Different Identity",*
2017,CA-603,Santa Barbara County CoC,Transgender,*
2017,CA-604,Kern County CoC,Cisgender Man,2445
2017,CA-604,Kern County CoC,Cisgender Woman,1817
2017,CA-604,Kern County CoC,"Culturally Specific, Non-Binary, and/or a Different Identity",*
2017,CA-604,Kern County CoC,Transgender,*
2017,CA-606,Long Beach CoC (Los Angeles County),Cisgender Man,1533
2017,CA-606,Long Beach CoC (Los Angeles County),Cisgender Woman,1118
2017,CA-606,Long Beach CoC (Los Angeles County),"Culturally Specific, Non-Binary, and/or a Different Identity",*
2017,CA-606,Long Beach CoC (Los Angeles County),Transgender,11
2017,CA-607,Pasadena CoC (Los Angeles County),Cisgender Man,753
2017,CA-607,Pasadena CoC (Los Angeles County),Cisgender Woman,516
2017,CA-607,Pasadena CoC (Los Angeles County),Client doesn't know,104
2017,CA-607,Pasadena CoC (Los Angeles County),"Culturally Specific, Non-Binary, and/or a Different Identity",*
2017,CA-607,Pasadena CoC (Los Angeles County),Transgender,*
2017,CA-608,Riverside County CoC,Cisgender Man,3828
2017,CA-608,Riverside County CoC,Cisgender Woman,2738
2017,CA-608,Riverside County CoC,Client doesn't know,21
2017,CA-608,Riverside County CoC,"Culturally Specific, Non-Binary, and/or a Different Identity",*
2017,CA-608,Riverside County CoC,Transgender,18
2017,CA-609,San Bernardino County CoC,Cisgender Man,4130
2017,CA-609,San Bernardino County CoC,Cisgender Woman,4153
2017,CA-609,San Bernardino County CoC,"Culturally Specific, Non-Binary, and/or a Different Identity",*
2017,CA-609,San Bernardino County CoC,Transgender,*
2017,CA-611,Ventura County CoC,Cisgender Man,1090
2017,CA-611,Ventura County CoC,Cisgender Woman,833
2017,CA-611,Ventura County CoC,"Culturally Specific, Non-Binary, and/or a Different Identity",*
2017,CA-611,Ventura County CoC,Questioning,*
2017,CA-611,Ventura County CoC,Transgender,*
2017,CA-612,Glendale CoC (Los Angeles County),Cisgender Man,207
2017,CA-612,Glendale CoC (Los Angeles County),Cisgender Woman,206
2017,CA-612,Glendale CoC (Los Angeles County),Client doesn't know,*
2017,CA-612,Glendale CoC (Los Angeles County),Transgender,*
2017,CA-613,Imperial County CoC,Cisgender Man,395
2017,CA-613,Imperial County CoC,Cisgender Woman,102
2017,CA-614,San Luis Obispo County CoC,Cisgender Man,972
2017,CA-614,San Luis Obispo County CoC,Cisgender Woman,760
2017,CA-614,San Luis Obispo County CoC,"Culturally Specific, Non-Binary, and/or a Different Identity",*
2017,CA-614,San Luis Obispo County CoC,Transgender,*
2018,All,California,Cisgender Man,118703
2018,All,California,Cisgender Woman,91044
2018,All,California,Client doesn't know,1539
2018,All,California,"Culturally Specific, Non-Binary, and/or a Different Identity",242
2018,All,California,Questioning,*
2018,All,California,Transgender,963
2018,CA-500,Santa Clara County CoC,Cisgender Man,5921
2018,CA-500,Santa Clara County CoC,Cisgender Woman,3781
2018,CA-500,Santa Clara County CoC,Client doesn't know,*
2018,CA-500,Santa Clara County CoC,"Culturally Specific, Non-Binary, and/or a Different Identity",18
2018,CA-500,Santa Clara County CoC,Transgender,45
2018,CA-501,San Francisco CoC,Cisgender Man,3021
2018,CA-501,San Francisco CoC,Cisgender Woman,2409
2018,CA-501,San Francisco CoC,Client doesn't know,156
2018,CA-501,San Francisco CoC,"Culturally Specific, Non-Binary, and/or a Different Identity",31
2018,CA-501,San Francisco CoC,Questioning,*
2018,CA-501,San Francisco CoC,Transgender,69
2018,CA-502,Alameda County CoC,Cisgender Man,3575
2018,CA-502,Alameda County CoC,Cisgender Woman,2875
2018,CA-502,Alameda County CoC,Client doesn't know,*
2018,CA-502,Alameda County CoC,"Culturally Specific, Non-Binary, and/or a Different Identity",*
2018,CA-502,Alameda County CoC,Transgender,26
2018,CA-503,Sacramento County CoC,Cisgender Man,6018
2018,CA-503,Sacramento County CoC,Cisgender Woman,5637
2018,CA-503,Sacramento County CoC,Client doesn't know,*
2018,CA-503,Sacramento County CoC,"Culturally Specific, Non-Binary, and/or a Different Identity",13
2018,CA-503,Sacramento County CoC,Transgender,45
2018,CA-504,Sonoma County CoC,Cisgender Man,1803
2018,CA-504,Sonoma County CoC,Cisgender Woman,1392
2018,CA-504,Sonoma County CoC,Client doesn't know,*
2018,CA-504,Sonoma County CoC,"Culturally Specific, Non-Binary, and/or a Different Identity",*
2018,CA-504,Sonoma County CoC,Questioning,*
2018,CA-504,Sonoma County CoC,Transgender,14
2018,CA-505,Contra Costa County CoC,Cisgender Man,3173
2018,CA-505,Contra Costa County CoC,Cisgender Woman,2356
2018,CA-505,Contra Costa County CoC,Client doesn't know,*
2018,CA-505,Contra Costa County CoC,"Culturally Specific, Non-Binary, and/or a Different Identity",*
2018,CA-505,Contra Costa County CoC,Transgender,11
2018,CA-506,"Monterey, San Benito Counties CoC",Cisgender Man,1272
2018,CA-506,"Monterey, San Benito Counties CoC",Cisgender Woman,1279
2018,CA-506,"Monterey, San Benito Counties CoC",Client doesn't know,*
2018,CA-506,"Monterey, San Benito Counties CoC","Culturally Specific, Non-Binary, and/or a Different Identity",*
2018,CA-506,"Monterey, San Benito Counties CoC",Questioning,*
2018,CA-506,"Monterey, San Benito Counties CoC",Transgender,*
2018,CA-507,Marin County CoC,Cisgender Man,788
2018,CA-507,Marin County CoC,Cisgender Woman,562
2018,CA-507,Marin County CoC,Client doesn't know,*
2018,CA-507,Marin County CoC,Transgender,*
2018,CA-508,Santa Cruz County CoC,Cisgender Man,1113
2018,CA-508,Santa Cruz County CoC,Cisgender Woman,739
2018,CA-508,Santa Cruz County CoC,Client doesn't know,40
2018,CA-508,Santa Cruz County CoC,Transgender,*
2018,CA-509,Mendocino County CoC,Cisgender Man,367
2018,CA-509,Mendocino County CoC,Cisgender Woman,212
2018,CA-509,Mendocino County CoC,Client doesn't know,*
2018,CA-509,Mendocino County CoC,"Culturally Specific, Non-Binary, and/or a Different Identity",*
2018,CA-509,Mendocino County CoC,Transgender,*
2018,CA-510,Stanislaus County CoC,Cisgender Man,3316
2018,CA-510,Stanislaus County CoC,Cisgender Woman,2821
2018,CA-510,Stanislaus County CoC,Client doesn't know,*
2018,CA-510,Stanislaus County CoC,"Culturally Specific, Non-Binary, and/or a Different Identity",*
2018,CA-510,Stanislaus County CoC,Transgender,*
2018,CA-511,San Joaquin County CoC,Cisgender Man,4740
2018,CA-511,San Joaquin County CoC,Cisgender Woman,4422
2018,CA-511,San Joaquin County CoC,"Culturally Specific, Non-Binary, and/or a Different Identity",*
2018,CA-511,San Joaquin County CoC,Transgender,*
2018,CA-512,San Mateo County CoC,Cisgender Man,2440
2018,CA-512,San Mateo County CoC,Cisgender Woman,1840
2018,CA-512,San Mateo County CoC,"Culturally Specific, Non-Binary, and/or a Different Identity",*
2018,CA-512,San Mateo County CoC,Transgender,*
2018,CA-513,"Kings, Tulare Counties CoC",Cisgender Man,1548
2018,CA-513,"Kings, Tulare Counties CoC",Cisgender Woman,1413
2018,CA-513,"Kings, Tulare Counties CoC","Culturally Specific, Non-Binary, and/or a Different Identity",*
2018,CA-513,"Kings, Tulare Counties CoC",Transgender,*
2018,CA-514,"Fresno, Madera Counties CoC",Cisgender Man,1330
2018,CA-514,"Fresno, Madera Counties CoC",Cisgender Woman,1160
2018,CA-514,"Fresno, Madera Counties CoC",Client doesn't know,14
2018,CA-514,"Fresno, Madera Counties CoC","Culturally Specific, Non-Binary, and/or a Different Identity",*
2018,CA-514,"Fresno, Madera Counties CoC",Questioning,*
2018,CA-514,"Fresno, Madera Counties CoC",Transgender,*
2018,CA-515,Placer County CoC,Cisgender Man,838
2018,CA-515,Placer County CoC,Cisgender Woman,635
2018,CA-515,Placer County CoC,Client doesn't know,*
2018,CA-515,Placer County CoC,Transgender,*
2018,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",Cisgender Man,241
2018,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",Cisgender Woman,285
2018,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",Client doesn't know,85
2018,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC","Culturally Specific, Non-Binary, and/or a Different Identity",*
2018,CA-517,Napa County CoC,Cisgender Man,575
2018,CA-517,Napa County CoC,Cisgender Woman,355
2018,CA-517,Napa County CoC,Transgender,*
2018,CA-518,Solano County CoC,Cisgender Man,468
2018,CA-518,Solano County CoC,Cisgender Woman,446
2018,CA-518,Solano County CoC,Client doesn't know,*
2018,CA-518,Solano County CoC,"Culturally Specific, Non-Binary, and/or a Different Identity",*
2018,CA-518,Solano County CoC,Transgender,*
2018,CA-519,Butte County CoC,Cisgender Man,804
2018,CA-519,Butte County CoC,Cisgender Woman,677
2018,CA-519,Butte County CoC,"Culturally Specific, Non-Binary, and/or a Different Identity",*
2018,CA-519,Butte County CoC,Transgender,*
2018,CA-520,Merced County CoC,Cisgender Man,531
2018,CA-520,Merced County CoC,Cisgender Woman,372
2018,CA-520,Merced County CoC,"Culturally Specific, Non-Binary, and/or a Different Identity",*
2018,CA-520,Merced County CoC,Transgender,*
2018,CA-521,Yolo County CoC,Cisgender Man,496
2018,CA-521,Yolo County CoC,Cisgender Woman,469
2018,CA-521,Yolo County CoC,Client doesn't know,*
2018,CA-521,Yolo County CoC,"Culturally Specific, Non-Binary, and/or a Different Identity",*
2018,CA-521,Yolo County CoC,Transgender,*
2018,CA-522,Humboldt County CoC,Cisgender Man,614
2018,CA-522,Humboldt County CoC,Cisgender Woman,430
2018,CA-522,Humboldt County CoC,Client doesn't know,14
2018,CA-522,Humboldt County CoC,"Culturally Specific, Non-Binary, and/or a Different Identity",12
2018,CA-522,Humboldt County CoC,Questioning,*
2018,CA-522,Humboldt County CoC,Transgender,*
2018,CA-523,"Colusa, Glenn, Trinity Counties CoC",Cisgender Man,148
2018,CA-523,"Colusa, Glenn, Trinity Counties CoC",Cisgender Woman,201
2018,CA-523,"Colusa, Glenn, Trinity Counties CoC",Client doesn't know,*
2018,CA-524,"Yuba, Sutter Counties CoC",Cisgender Man,*
2018,CA-524,"Yuba, Sutter Counties CoC",Cisgender Woman,*
2018,CA-525,El Dorado County CoC,Cisgender Man,209
2018,CA-525,El Dorado County CoC,Cisgender Woman,187
2018,CA-525,El Dorado County CoC,Client doesn't know,*
2018,CA-525,El Dorado County CoC,"Culturally Specific, Non-Binary, and/or a Different Identity",*
2018,CA-525,El Dorado County CoC,Transgender,*
2018,CA-526,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",Cisgender Man,315
2018,CA-526,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",Cisgender Woman,385
2018,CA-526,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",Transgender,*
2018,CA-527,Tehama County CoC,Cisgender Man,244
2018,CA-527,Tehama County CoC,Cisgender Woman,172
2018,CA-529,Lake County CoC,Cisgender Man,30
2018,CA-529,Lake County CoC,Cisgender Woman,35
2018,CA-530,"Alpine, Inyo, Mono Counties CoC",Cisgender Man,93
2018,CA-530,"Alpine, Inyo, Mono Counties CoC",Cisgender Woman,126
2018,CA-531,Nevada County CoC,Cisgender Man,347
2018,CA-531,Nevada County CoC,Cisgender Woman,194
2018,CA-531,Nevada County CoC,"Culturally Specific, Non-Binary, and/or a Different Identity",*
2018,CA-531,Nevada County CoC,Transgender,*
2018,CA-600,Los Angeles County CoC,Cisgender Man,42765
2018,CA-600,Los Angeles County CoC,Cisgender Woman,30832
2018,CA-600,Los Angeles County CoC,Client doesn't know,852
2018,CA-600,Los Angeles County CoC,"Culturally Specific, Non-Binary, and/or a Different Identity",74
2018,CA-600,Los Angeles County CoC,Transgender,521
2018,CA-601,San Diego County CoC,Cisgender Man,9198
2018,CA-601,San Diego County CoC,Cisgender Woman,5821
2018,CA-601,San Diego County CoC,Client doesn't know,130
2018,CA-601,San Diego County CoC,"Culturally Specific, Non-Binary, and/or a Different Identity",19
2018,CA-601,San Diego County CoC,Transgender,62
2018,CA-602,Orange County CoC,Cisgender Man,6748
2018,CA-602,Orange County CoC,Cisgender Woman,5269
2018,CA-602,Orange County CoC,Client doesn't know,35
2018,CA-602,Orange County CoC,"Culturally Specific, Non-Binary, and/or a Different Identity",*
2018,CA-602,Orange County CoC,Transgender,22
2018,CA-603,Santa Barbara County CoC,Cisgender Man,1569
2018,CA-603,Santa Barbara County CoC,Cisgender Woman,981
2018,CA-603,Santa Barbara County CoC,Client doesn't know,115
2018,CA-603,Santa Barbara County CoC,"Culturally Specific, Non-Binary, and/or a Different Identity",*
2018,CA-603,Santa Barbara County CoC,Transgender,*
2018,CA-604,Kern County CoC,Cisgender Man,2526
2018,CA-604,Kern County CoC,Cisgender Woman,1857
2018,CA-604,Kern County CoC,Client doesn't know,*
2018,CA-604,Kern County CoC,"Culturally Specific, Non-Binary, and/or a Different Identity",*
2018,CA-604,Kern County CoC,Transgender,*
2018,CA-606,Long Beach CoC (Los Angeles County),Cisgender Man,1626
2018,CA-606,Long Beach CoC (Los Angeles County),Cisgender Woman,1114
2018,CA-606,Long Beach CoC (Los Angeles County),"Culturally Specific, Non-Binary, and/or a Different Identity",*
2018,CA-606,Long Beach CoC (Los Angeles County),Transgender,*
2018,CA-607,Pasadena CoC (Los Angeles County),Cisgender Man,977
2018,CA-607,Pasadena CoC (Los Angeles County),Cisgender Woman,604
2018,CA-607,Pasadena CoC (Los Angeles County),Client doesn't know,*
2018,CA-607,Pasadena CoC (Los Angeles County),"Culturally Specific, Non-Binary, and/or a Different Identity",*
2018,CA-607,Pasadena CoC (Los Angeles County),Transgender,15
2018,CA-608,Riverside County CoC,Cisgender Man,4043
2018,CA-608,Riverside County CoC,Cisgender Woman,3058
2018,CA-608,Riverside County CoC,Client doesn't know,24
2018,CA-608,Riverside County CoC,"Culturally Specific, Non-Binary, and/or a Different Identity",*
2018,CA-608,Riverside County CoC,Transgender,28
2018,CA-609,San Bernardino County CoC,Cisgender Man,3687
2018,CA-609,San Bernardino County CoC,Cisgender Woman,3714
2018,CA-609,San Bernardino County CoC,"Culturally Specific, Non-Binary, and/or a Different Identity",*
2018,CA-609,San Bernardino County CoC,Transgender,*
2018,CA-611,Ventura County CoC,Cisgender Man,913
2018,CA-611,Ventura County CoC,Cisgender Woman,812
2018,CA-611,Ventura County CoC,Client doesn't know,*
2018,CA-611,Ventura County CoC,"Culturally Specific, Non-Binary, and/or a Different Identity",*
2018,CA-611,Ventura County CoC,Transgender,*
2018,CA-612,Glendale CoC (Los Angeles County),Cisgender Man,232
2018,CA-612,Glendale CoC (Los Angeles County),Cisgender Woman,264
2018,CA-612,Glendale CoC (Los Angeles County),Client doesn't know,*
2018,CA-612,Glendale CoC (Los Angeles County),"Culturally Specific, Non-Binary, and/or a Different Identity",*
2018,CA-612,Glendale CoC (Los Angeles County),Transgender,*
2018,CA-613,Imperial County CoC,Cisgender Man,553
2018,CA-613,Imperial County CoC,Cisgender Woman,308
2018,CA-613,Imperial County CoC,Transgender,*
2018,CA-614,San Luis Obispo County CoC,Cisgender Man,994
2018,CA-614,San Luis Obispo County CoC,Cisgender Woman,841
2018,CA-614,San Luis Obispo County CoC,"Culturally Specific, Non-Binary, and/or a Different Identity",*
2018,CA-614,San Luis Obispo County CoC,Transgender,*
2019,All,California,Cisgender Man,134524
2019,All,California,Cisgender Woman,100510
2019,All,California,Client doesn't know,1476
2019,All,California,"Culturally Specific, Non-Binary, and/or a Different Identity",349
2019,All,California,Questioning,*
2019,All,California,Transgender,1104
2019,CA-500,Santa Clara County CoC,Cisgender Man,6462
2019,CA-500,Santa Clara County CoC,Cisgender Woman,4089
2019,CA-500,Santa Clara County CoC,Client doesn't know,*
2019,CA-500,Santa Clara County CoC,"Culturally Specific, Non-Binary, and/or a Different Identity",17
2019,CA-500,Santa Clara County CoC,Transgender,60
2019,CA-501,San Francisco CoC,Cisgender Man,4394
2019,CA-501,San Francisco CoC,Cisgender Woman,3375
2019,CA-501,San Francisco CoC,Client doesn't know,136
2019,CA-501,San Francisco CoC,"Culturally Specific, Non-Binary, and/or a Different Identity",46
2019,CA-501,San Francisco CoC,Questioning,*
2019,CA-501,San Francisco CoC,Transgender,103
2019,CA-502,Alameda County CoC,Cisgender Man,4221
2019,CA-502,Alameda County CoC,Cisgender Woman,3228
2019,CA-502,Alameda County CoC,Client doesn't know,*
2019,CA-502,Alameda County CoC,"Culturally Specific, Non-Binary, and/or a Different Identity",11
2019,CA-502,Alameda County CoC,Questioning,*
2019,CA-502,Alameda County CoC,Transgender,37
2019,CA-503,Sacramento County CoC,Cisgender Man,5910
2019,CA-503,Sacramento County CoC,Cisgender Woman,5543
2019,CA-503,Sacramento County CoC,Client doesn't know,16
2019,CA-503,Sacramento County CoC,"Culturally Specific, Non-Binary, and/or a Different Identity",29
2019,CA-503,Sacramento County CoC,Transgender,47
2019,CA-504,Sonoma County CoC,Cisgender Man,2071
2019,CA-504,Sonoma County CoC,Cisgender Woman,1654
2019,CA-504,Sonoma County CoC,Client doesn't know,12
2019,CA-504,Sonoma County CoC,"Culturally Specific, Non-Binary, and/or a Different Identity",*
2019,CA-504,Sonoma County CoC,Transgender,18
2019,CA-505,Contra Costa County CoC,Cisgender Man,4087
2019,CA-505,Contra Costa County CoC,Cisgender Woman,2785
2019,CA-505,Contra Costa County CoC,Client doesn't know,14
2019,CA-505,Contra Costa County CoC,"Culturally Specific, Non-Binary, and/or a Different Identity",*
2019,CA-505,Contra Costa County CoC,Transgender,13
2019,CA-506,"Monterey, San Benito Counties CoC",Cisgender Man,1193
2019,CA-506,"Monterey, San Benito Counties CoC",Cisgender Woman,1242
2019,CA-506,"Monterey, San Benito Counties CoC","Culturally Specific, Non-Binary, and/or a Different Identity",*
2019,CA-506,"Monterey, San Benito Counties CoC",Questioning,*
2019,CA-506,"Monterey, San Benito Counties CoC",Transgender,*
2019,CA-507,Marin County CoC,Cisgender Man,710
2019,CA-507,Marin County CoC,Cisgender Woman,561
